n,doc_id,page,date,url
51,frjb19800924-01.1.1,"Page 1","24 September 1980",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19800924-01.1.1&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
52,frjb19801105-01.1.6,"Page 6","5 November 1980",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19801105-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
53,frjb19801126-01.1.2,"Page 2","26 November 1980",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19801126-01.1.2&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
54,frjb19801231-01.1.6,"Page 6","31 December 1980",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19801231-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
55,frjb19810114-01.1.2,"Page 2","14 January 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810114-01.1.2&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
56,frjb19810121-01.1.6,"Page 6","21 January 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810121-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
57,frjb19810218-01.1.8,"Page 8","18 February 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810218-01.1.8&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
58,frjb19810225-01.1.8,"Page 8","25 February 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810225-01.1.8&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
59,frjb19810415-01.1.6,"Page 6","15 April 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810415-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
60,frjb19810506-01.1.6,"Page 6","6 May 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810506-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
61,frjb19810520-01.1.6,"Page 6","20 May 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810520-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
62,frjb19810527-01.1.6,"Page 6","27 May 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810527-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
63,frjb19810603-01.1.6,"Page 6","3 June 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810603-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
64,frjb19810624-01.1.6,"Page 6","24 June 1981",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19810624-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
